"Unit_ID","Unit_Abbreviation","Unit_Description"
1,"% Sat","Percent Saturation"
2,"cells/ml","Cells per Milliliter"
3,"cfu/100ml","Colony Forming Units per 100 Milliliters"
4,"deg C","Degrees Celsius (Centigrade)"
5,"ft","Feet"
6,"m","Meters"
7,"mg/l","Milligrams per Liter"
8,"mg/m3","Milligrams per Cubic Meter"
9,"mmHg","Pressure, Millimeters of Mercury"
10,"MPN/100ml","Most Probable Number per 100 Milliliters"
11,"pH units","pH units"
12,"ppth","Parts per Thousand"
13,"ug/l","Micrograms per Liter"
14,"umol/l","Micromoles per Liter"
15,"uS/cm","Micro-Siemens per Centimeter"
16,"volts","Electro-motive Force, Volts"
